category,name,price,description,veg_nonveg,spice_level,source_file
Festive Special: Ghewar & Pheni,Ghewar Sweet Box - 500 G,₹400,,Veg,Normal,bikanervala_raj_nagar_extension_menu.csv
Festive Special: Ghewar & Pheni,Ghewar Malai Box - 600g,₹504.76,,Veg,Normal,bikanervala_raj_nagar_extension_menu.csv
Summer Specials,Desi Cold Coffee,₹120,A refreshing blend of milk and coffee with a traditional Indian twist.,Veg,Normal,bikanervala_raj_nagar_extension_menu.csv
Summer Specials,Biscoff shake,₹150,"Biscoff Delight: Cookie crunch meets creamy goodness — pure bliss!

Serving Size:
- Approx. 300ml

~ This unique shake blends creamy vanilla ice cream with Biscoff cookies, offering a rich, caramelized flavor that’s both indulgent and delightful for summer enjoyment.",Veg,Normal,bikanervala_raj_nagar_extension_menu.csv
Summer Specials,Chocolate Shake,₹150,"Chocolate Shake Indulgence: Rich, velvety chocolate to satisfy your cravings!

Serving Size:
- Approx. 300ml

~ Rich and indulgent, the Chocolate Shake combines chocolate ice cream and milk for a thick, creamy dessert drink that’s perfect for satisfying your sweet tooth.",Veg,Normal,bikanervala_raj_nagar_extension_menu.csv
Summer Specials,Bubblegum shake,₹150,"Bubblegum Bonanza: A whimsical twist that transports you back to childhood!

Serving Size:
- Approx. 300ml

~ Fun and colorful, the Bubblegum Shake mixes bubblegum flavor with ice cream and milk, creating a whimsical treat that’s sure to bring back childhood memories.",Veg,Normal,bikanervala_raj_nagar_extension_menu.csv
Sweets,Karachi Halwa 30 G,₹19.05,"A chewy and rich sweet made with cornflour, sugar, and nuts, packed in a compact size.",Veg,Normal,bikanervala_raj_nagar_extension_menu.csv
Sweets,Milk Cake,₹194,A classic milk-based sweet with a soft texture and caramelized flavor.,Veg,Normal,bikanervala_raj_nagar_extension_menu.csv
Sweets,Khoya Pista Burfi,₹190,"A delectable Indian sweet made from khoya (milk solids) and flavored with ground pistachios (pista). It's typically cut into diamond or square shapes and garnished with pistachio pieces, offering a rich and nutty dessert.Item Includes- 28 to 30 pieces of burfi in 1 kg box",Veg,Normal,bikanervala_raj_nagar_extension_menu.csv
Sweets,Khoya Burfi,₹169,"A classic Indian sweet made from reduced milk solids (khoya), sugar, and often flavored with cardamom or saffron. It is shaped into square or diamond-shaped pieces and is known for its rich and creamy texture.This Item includes approximately 25-30 pieces of Burfi in 1 kg box.",Veg,Normal,bikanervala_raj_nagar_extension_menu.csv
