category,name,price,description,veg_nonveg,spice_level
Festive Special: Ghewar & Pheni,Ghewar Sweet Box - 500 G,₹400,,Veg,Normal
Festive Special: Ghewar & Pheni,Ghewar Malai Box - 600g,₹504.76,,Veg,Normal
Summer Specials,Desi Cold Coffee,₹120,A refreshing blend of milk and coffee with a traditional Indian twist.,Veg,Normal
Summer Specials,Biscoff shake,₹150,"Biscoff Delight: Cookie crunch meets creamy goodness — pure bliss!

Serving Size:
- Approx. 300ml

~ This unique shake blends creamy vanilla ice cream with Biscoff cookies, offering a rich, caramelized flavor that’s both indulgent and delightful for summer enjoyment.",Veg,Normal
Summer Specials,Chocolate Shake,₹150,"Chocolate Shake Indulgence: Rich, velvety chocolate to satisfy your cravings!

Serving Size:
- Approx. 300ml

~ Rich and indulgent, the Chocolate Shake combines chocolate ice cream and milk for a thick, creamy dessert drink that’s perfect for satisfying your sweet tooth.",Veg,Normal
Summer Specials,Bubblegum shake,₹150,"Bubblegum Bonanza: A whimsical twist that transports you back to childhood!

Serving Size:
- Approx. 300ml

~ Fun and colorful, the Bubblegum Shake mixes bubblegum flavor with ice cream and milk, creating a whimsical treat that’s sure to bring back childhood memories.",Veg,Normal
Sweets,Karachi Halwa 30 G,₹19.05,"A chewy and rich sweet made with cornflour, sugar, and nuts, packed in a compact size.",Veg,Normal
Sweets,Milk Cake,₹194,A classic milk-based sweet with a soft texture and caramelized flavor.,Veg,Normal
Sweets,Khoya Pista Burfi,₹190,"A delectable Indian sweet made from khoya (milk solids) and flavored with ground pistachios (pista). It's typically cut into diamond or square shapes and garnished with pistachio pieces, offering a rich and nutty dessert.Item Includes- 28 to 30 pieces of burfi in 1 kg box",Veg,Normal
Sweets,Khoya Burfi,₹169,"A classic Indian sweet made from reduced milk solids (khoya), sugar, and often flavored with cardamom or saffron. It is shaped into square or diamond-shaped pieces and is known for its rich and creamy texture.This Item includes approximately 25-30 pieces of Burfi in 1 kg box.",Veg,Normal
Sweets,Khoya Chocolate Burfi,₹190,A delectable Indian sweet combining khoya (milk solids) and chocolate to create a rich and creamy burfi with a delightful chocolate flavor.Item includes 28-30 pieces approximately in 1KG box.,Veg,Normal
Sweets,Shahi Chocolate Burfi,₹185,"A royal blend of chocolate and traditional Indian burfi, creating a fusion of flavors.",Veg,Normal
Sweets,Rasmalai,₹65,"Soft, spongy cheese patties soaked in fragrant saffron-flavored milk, topped with pistachios and almonds. A rich, traditional Indian dessert perfect for festive celebrations.",Veg,Normal
Sweets,Kalakand,₹190,"""Best Seller – A Must-Try Delight!

Available in:
- 1kg (approx. 28 pcs)
- 500g (approx. 14 pcs)
- 250g (approx. 7 pcs)

Kalakand, a rich milky jewel that embodies milky magic in every bite. Imagine sweetened milk slowly reduced to a grainy perfection, enhanced with the aromatic essence of cardamom and garnished with pista.",Veg,Normal
Sweets,Rasgulla,₹17,"Spongy and syrupy balls made from chenna, a Bengali delicacy.",Veg,Normal
Sweets,Coconut Burfi,₹340,"Coconut barfi, is a popular and delicious Indian sweet made from grated coconut, sugar, and milk.Item Includes 15-16 piecesapproximate in 1 KG box.",Veg,Normal
Sweets,Malai Chap,₹55,"A delicious Indian dessert made from condensed milk and flavored with cardamom, then shaped into small, soft, and creamy bites. A delightful sweet treat.Item Includes 1 piece of Malai Chaap.",Veg,Normal
Sweets,Cham Cham,₹55,"A popular Indian sweet made from fresh paneer (chhena), cooked in sugar syrup and often flavored with cardamom or rose water. These soft, spongy, and syrup-soaked sweets are often garnished with grated coconut or chopped nuts.This item includes approximately 1 piece of Cham Cham.",Veg,Normal
Sweets,Malai Cup,₹90,,Veg,Normal
Sweets,Chena Toast,₹55,"A savory Indian snack made by spicing up paneer (cottage cheese) with herbs and spices, spreading it on bread slices, and toasting them until crispy and golden brown. A flavorful and crunchy treat.This Item includes 1 piece of Chena Toast.",Veg,Normal
Sweets,Chena Murki,₹350,"A traditional Indian sweet made by simmering cubes of fresh paneer (chhena) in sugar syrup until they become crystallized and coated with a glossy, sweet glaze. A delightful and crunchy sweet treat.",Veg,Normal
Sweets,Gur Rasmalai,₹75,"Carbohydrate-grams/miligrams 63.5g Fat-grams/miligrams-24g Protein-grams/miligrams 4.9g Calorie-KiloCalorie (KCAL) 489.6 kcal CONTAINS : WHEAT, May also contain traces of Milk, Peanuts, Nuts, Sesame, Soy and Oats.",Veg,Normal
Sweets,Pakiza,₹55,"A Heavenly Dessert to Satisfy Your Sweet Cravings. This sweet is Soft, Syrup-Soaked Pastry Layers Filled with Creamy Delights. Item Includes 1 piece of Pakiza.",Veg,Normal
Sweets,Dil Khush Bengali,₹90,,Veg,Normal
Sweets,Gur Peda Sandesh,₹420,A fusion of two Indian sweets - Gur Peda (jaggery-based sweet) and Sandesh (paneer-based sweet). It combines the flavors of jaggery and cottage cheese (paneer) to create a delectable and unique dessert.,Veg,Normal
Sweets,Angoori Petha,₹110,"A famous North Indian sweet, Angoori Petha consists of small, bite-sized, translucent cubes made from ash gourd (winter melon) or pumpkin, simmered in sugar syrup, often flavored with cardamom, and garnished with pistachios.",Veg,Normal
Sweets,Kaju Dhoda,₹150,"A traditional Indian sweet originating from Punjab, it's made with cashews (kaju), sugar, and ghee, resulting in a rich, fudgy confection with a delightful nutty flavor.Item includes 25-30 pieces of Kaju Dhoda approximately in 1 kg box.",Veg,Normal
Sweets,Moong Dal Burfi,₹182.50,"A richly textured mixture of moong daal paste and crumbled mava is cooked in sugar syrup, flavored aesthetically with desi spices to make a delicious moong daal burfi.Item includes 28-30 pieces of Burfi Approximately in 1 KG Box",Veg,Normal
Sweets,Dhoda Special,₹175,"Dhoda is a traditional Indian sweet from the state of Punjab, particularly popular in the town of Khanna. It's made from milk, sugar, and ghee, cooked to a fudge-like consistency.Item Includes- 22 to 24 pieces of Dhoda Burfi in 1 KG Box.",Veg,Normal
Sweets,Gulab Jamun,₹160,"""House Favorite – Loved by All, Craved by Many!

Available in:
- 1kg (approx. 20 Pcs)
- 500g (approx. 10 Pcs)
- 250g (approx. 5 Pcs)

~ A beloved dessert consisting of deep-fried, reddish-brown dumplings made from khoya (milk solids), soaked in sugar syrup. A sweet and indulgent delight in Indian cuisine.""",Veg,Normal
Sweets,Kala Jamun,₹160,"A darker, richer version of gulab jamun, soaked in a thick, flavorful sugar syrup.",Veg,Normal
Sweets,Lamba Jamun,₹160,"A unique and elongated variation of the classic Gulab Jamun, these sweet, fried dough dumplings are soaked in sugar syrup and loved for their deliciously syrupy indulgence.""Item Includes 18-20 pieces of Lamba Jamun approximately in 1 KG Box.",Veg,Normal
Sweets,Special Patisa,₹189,"A delightful Indian sweet made in desi ghee known for its flaky, layered texture and sweet, nutty flavor. Made from caramelized sugar and gram flour, it's a cherished treat in Indian cuisine.""",Veg,Normal
