category,name,price,description,veg_nonveg,spice_level
NEW Whopper Deluxe (Reg. Size Bun),Extra Crunchy Veg Whopper Deluxe(Reg. Size Bun).,₹149,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Extra Crunchy Veg patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces.
Qty: 195 gms| Kcal: 484 | Carbs: 49 gms| Sugar: 10 gms| Fat: 27 gms| Saturated fat: 9 gms| Protein: 11 gms|Qty: 194 Gms| Kcal: 456 | Carbs 61.6 Gms| Sugar: 9.2 Gms| Fat: 20 Gms| Saturated fat: 11.9 Gms| Protein: 7.2 Gms| Sodium: 1428.1 Mg 
Contains: Gluten, Soybean, Milk, Sesame seeds.",Veg,Normal
NEW Whopper Deluxe (Reg. Size Bun),Crunchy Soft Paneer Whopper Deluxe(Reg. Size Bun).,₹199,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Crunchy Soft Paneer patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces.
Qty: 225 gms| Kcal: 621 | Carbs: 57 gms| Sugar: 1 gms| Fat: 34 gms| Saturated fat: 14 gms| Protein: 21 gms|",Veg,Normal
NEW Whopper Deluxe (Reg. Size Bun),Molten Cheese Lava Whopper Deluxe(Reg. Size Bun).,₹199,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Molten Cheese Lava patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces.
Qty: 230 gms| Kcal: 765 | Carbs: 35 gms| Sugar: 10 gms| Fat: 54 gms| Saturated fat: 20 gms| Protein: 35 gms|",Veg,Normal
NEW Whopper Deluxe (Reg. Size Bun),Flame Grilled Chicken Whopper Deluxe(Reg. Size Bun).,₹199,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Flame-Grilled Chicken patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces.
Qty: 168 gms| Kcal: 327 | Carbs: 35 gms| Sugar: 1 gms| Fat: 14 gms| Saturated fat: 3 gms| Protein: 15 gms|",Non-Veg,Normal
NEW Whopper Deluxe (Reg. Size Bun),Smokey Crunchy Chicken Whopper Deluxe(Reg. Size Bun).,₹199,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Smokey Crunchy Chicken patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces.
Qty: 240 gms| Kcal: 834 | Carbs: 76 gms| Sugar: 9 gms| Fat: 60 gms| Saturated fat: 13 gms| Protein: 37 gms|",Non-Veg,Normal
NEW Whopper Deluxe (Reg. Size Bun),Flame-Grilled Mutton Whopper Deluxe(Reg. Size Bun),₹219,"New Whopper Deluxe in premium glazed bun (regular size). 7 layers of taste: Flame-Grilled Mutton patty, fresh onion, crispy lettuce, juicy tomatoes (seasonal) tangy gherkins, creamy & smoky sauces.
Qty: 186 gms| Kcal: 338 | Carbs: 38 gms| Sugar: 1 gms| Fat: 13 gms| Saturated fat: 4 gms| Protein: 16 gms|",Non-Veg,Normal
NEW Whopper Deluxe (Reg. Size Bun),Whopper Deluxe Duo.,₹318,Choose any New Whopper Deluxe + Snack,Non-Veg,Normal
NEW Whopper Deluxe (Reg. Size Bun),Whopper Deluxe- Saver Meals for 2.,₹731,Choose any 2 from New Whopper Deluxe Range + 2 Snacks + Coke,Non-Veg,Normal
Korean Spicy Fest(Limited Time Only),2 Korean Spicy Paneer Burger @ 399.,₹598,Crunchy Soft Paneer patty dunked in hot and sweet Korean glaze with Korean sesame mayo in premium Brioche buns for authentic Korean flavours.,Veg,Spicy
Korean Spicy Fest(Limited Time Only),Korean Spicy Paneer Burger.,₹299,"""Crunchy Soft Paneer patty dunked in hot and sweet Korean glaze with Korean sesame mayo in premium Brioche buns for authentic Korean flavours. 
Qty: 228 Gms| Kcal: 695.26 | Carbs 67.94 Gms| Sugar: 16.99 Gms| Fat: 38.07 Gms| Saturated fat: 15.82 Gms| Protein: 20.20 Gms| Sodium: 1744.70 Mg 
Contains: Gluten, Soybean , Milk """,Veg,Spicy
