category,name,price,description,veg_nonveg,spice_level
Teej Specials,Big Kalakand Ghewar 1Pc (530gm - 560gm),₹546.66,"Refined flour batter deep-fried to a honeycomb texture, dipped in sugar syrup, topped with creamy kalakand, silver leaf, and pistachio flakes.",Veg,Normal
Teej Specials,Big Malai Ghewar 1 Pc (520gm - 540gm),₹463.80,"Crisp honeycomb ghewar soaked in sugar syrup, layered with rich malai, finished with silver leaf and a sprinkle of pistachio flakes.",Veg,Normal
Teej Specials,Small Malai Ghewar 4 Pc (475gm - 510gm),₹504.76,"Crispy mini ghewar soaked in syrup, crowned with malai and pistachio flakes, wrapped in festive silver leaf.",Veg,Normal
Teej Specials,Big Kesariya Ghewar 2Pc (580gm - 600gm),₹593.33,"Traditional honeycomb ghewar infused with saffron sugar syrup, garnished with silver leaf, dry fruits, and pistachio flakes.",Veg,Normal
Teej Specials,Small Kesariya Ghewar 8Pc (690gm - 710gm),₹742.85,"Traditional ghewar infused with saffron sugar syrup, garnished with dry fruits and pistachio flakes.",Veg,Normal
Teej Specials,Kesar Feni (500gm),₹474.28,"Haldiram's Kesar Feni is a delectable traditional Indian dessert made from delicate, golden threads infused with the rich aroma of saffron. Perfect for festive occasions, this sweet treat melts in your mouth, leaving a lasting impression.",Veg,Normal
Teej Specials,White Feni (500gm),₹331.42,"Indulge in the rich, creamy delight of Haldiram's White Feni, a traditional Indian dessert crafted with premium ingredients for a luscious, melt-in-your-mouth experience.",Veg,Normal
Restaurant,Choley Bhature,₹190,"Haldiram's Chole Bhature is a beloved North Indian dish featuring crispy fried bhature bread with spiced chickpeas. Garnished with chilies, and coriander, it's served with mixed pickle and salad for a tangy kick.",Veg,Normal
Restaurant,Pani Puri,₹65,"A beloved Indian snack, also known as Golgappa, consisting of crispy puris served with spicy mint-coriander water, sweet and spicy flavorful tamarind water, and a mix of potatoes and chickpeas. The combination of sweet, tangy, and spicy flavors creates an explosion of taste.",Veg,Spicy
Restaurant,Raj Kachori,₹165,"Raj Kachori is a mouth-watering dish made with a crispy and hollow pastry shell stuffed with potatoes, chickpeas, and tangy spices. Topped with tamarind and mint chutney, yogurt, Sev noodles, and coriander leaves, it's a flavourful snack.",Veg,Normal
Restaurant,Pao Bhaji,₹190,"A popular Indian street food featuring a vegetable curry made with mashed potatoes, tomatoes, peas, and aromatic spices. Served with buttery pao bread and garnished with onions, coriander, and lemon, it's a filling and tasty dish enjoyed throughout India.",Veg,Normal
Restaurant,Matar Kulcha,₹160,"Matar Kulcha is a spicy and tangy dish made with soft kulchas and boiled white peas cooked with spices. Topped with onions, tomatoes, chilies, and coriander, it's served with tamarind chutney for extra flavour.",Veg,Spicy
Restaurant,Special Dahi Bhalla,₹160,"Haldiram's Special Dahi Bhalla features deep-fried lentil dumplings soaked in creamy and tangy yogurt, creating a refreshing taste. Generously garnished with tangy tamarind chutney, and aromatic spices, it offers a truly mouth-watering experience.",Veg,Normal
Restaurant,Bhalla Papdi,₹160,"Bhalla Papdi is a beloved street food dish from Old Delhi, India. It consists of crispy fried Papdi chips, boiled chickpeas and potatoes, yogurt, tamarind, cumin, chaat masala, red chili powder, and a sprinkle of sev noodles.",Veg,Normal
Restaurant,Papdi Chaat,₹160,"Made with Papdi chips, chickpeas, potatoes, yogurt, tamarind, spices, and Sev noodles, it's a tangy and savoury dish garnished with coriander leaves.",Veg,Normal
Restaurant,Puri sabji halwa,₹190,"Haldiram's Puri Sabji and Halwa is a famous breakfast dish from Purani Dilli in India. It comprises of fluffy deep-fried bread (puri), tangy potato curry (sabji) made with aromatic spices, and sweet semolina pudding (halwa) flavored with cardamom and saffron.",Veg,Normal
Restaurant,Aloo Tikki With Dahi,₹150,"Crispy Aloo Tikki Chaat with Dahi is a popular Indian snack, made with shallow-fried mashed potato patties, topped with creamy yogurt, tangy tamarind chutney, and spicy mint chutney. It is garnished with fresh coriander leaves and a sprinkle of chaat masala",Veg,Spicy
Restaurant,Aloo Tikki,₹120,"Made with mashed potatoes and a variety of spices such as cumin, coriander, and chili powder, formed into patties, and then shallow-fried until crispy on the outside. The Aloo Tikki is then topped with sweet and tangy tamarind chutney and a sprinkle of chaat masala.",Veg,Normal
Restaurant,Aloo Tikki With Choley,₹165,"The popular street food ""Aloo Tikki with Choley"" features crispy mashed potato patties topped with a spicy chickpea mixture and garnished with coriander leaves, chaat masala, and tangy chutneys, providing a burst of flavours and textures in every bite",Veg,Spicy
Restaurant,Vada Pao,₹80,"Vada Pao is a popular street food from Mumbai. It consists of a soft bun filled with a spicy potato patty. The patty is made with mashed potatoes, spices, and herbs, coated in gram flour batter and deep-fried. The bun is toasted and topped with tangy chutney.",Veg,Spicy
Restaurant,Dhokla (500gm),₹147,"Haldiram’s Dhokla is a light & flavourful snack that's Light and Flavorful and has an authentic taste of Gujarat. Made with a unique blend of fermented rice and split chickpeas, our dhoklas are soft, spongy, and melt in your mouth.",Veg,Normal
Restaurant,Dal Kachori - 2 pcs,₹40,"Indulge in the delightful and crispy goodness of our famous kachori. Bursting with a mouthwatering blend of spices, this savory snack is a quick hunger fix.",Veg,Normal
Restaurant,Paneer Pakoda - 2 pcs,₹88,"Haldiram's Paneer Pakoda is a delightful snack with the perfect blend of flavors and textures. Made with the finest quality ingredients, these golden, crispy fritters is a tasty combination of  paneer and a range of flavorful spices that offers burst of flavour in every bite.",Veg,Normal
Restaurant,Aloo Samosa - 2 pcs,₹40,"Haldiram’s Samosa is a delightful Indian snack, full of flavors in every bite. It is a triangle-shaped pocket, filled with delectable potato fillings.",Veg,Normal
Restaurant,Onion Kachori - 2 pcs,₹88,"Enjoy the delectable and crispy onion kachoris from Haldiram! Made with a perfect blend of onions and aromatic spices, these savory snacks are a delight for your taste buds.",Veg,Normal
Restaurant,Grilled Sandwich with Chips,₹125,"Haldiram's Grilled Sandwich presents a blend of crisp vegetables like tomatoes, and cucumbers topped with cheese slices nestled between slices of soft bread.",Veg,Normal
Restaurant,Plain Sandwich,₹100,"Haldiram's Plain Sandwich offers a delightful combination of fresh vegetables and soft bread, creating a satisfying and flavourful bite.",Veg,Normal
Restaurant,Special Veg Thali,₹395,"Haldiram's North Indian Thali is a plate that brings together a variety of dishes from North Indian cuisine, including steamed rice, bread, dal makhani, mix vegetable curry, shahi paneer, raita, salad, pickle, and dessert. It represents the diverse flavours and cultures of North India and is a popular meal option at our outlets across India.",Veg,Normal
Restaurant,Tandoori Platter,₹395,"The platter consists of 2 Pc paneer tikka, 2 Pc vegetable kebab, and 2Pc tandoori aloo. The paneer tikka and Seekh kebab are marinated in a yogurt and spice mixture and grilled to perfection in a traditional clay oven. It is made of grated potatoes, cottage cheese that are marinated and roasted in a tandoor, giving them a smoky and charred flavour. Best combined with 110gm Dal Makhani and 1pc Garlic Naan.",Veg,Normal
Restaurant,Shahi Paneer Combo,₹294,"Soft paneer in a rich, creamy gravy, served with dal makhani, lachha paratha, naan, and a side of fresh salad!",Veg,Normal
Restaurant,Kadhai Paneer Combo,₹273,"Spicy Kadhai Paneer tossed with capsicum and onion, paired with dal makhani, crispy lachha paratha, naan, and fresh salad!",Veg,Spicy
Restaurant,Mix Veg Combo,₹273,"Seasonal vegetables cooked in mild masala, served with dal makhani, lachha paratha, naan, and fresh salad!",Veg,Normal
Restaurant,Malai Kofta Combo,₹273,"Koftas in a smooth, creamy gravy, paired with dal makhani, lachha paratha, naan, and a side of fresh salad!",Veg,Normal
