category,name,price,description,veg_nonveg,spice_level
The Ranveer Singh Meal,McChicken® Xplode,₹171,"Delightfully crispy chicken sandwich with a crispy chicken patty topped with Xplode Sauce,Fried Onions and shredded iceberg lettuce served on a perfectly toasty bun.",Non-Veg,Normal
The Ranveer Singh Meal,McVeggie Xplode,₹148,"A patty made of potatoes, peas, carrots, beans, onions, red capsicum and a selection of Indian spices, topped with crispy lettuce, Xplode Sauce & Fried Onions packed into sesame toasted buns.",Veg,Normal
The Ranveer Singh Meal,McVeggie Xplode VM,₹207,,Veg,Normal
The Ranveer Singh Meal,Golden Crispy Pops,₹137,"Hi, it’s Golden Crispy Popson this side",Veg,Normal
The Ranveer Singh Meal,Large EVM McChicken Xplode,₹325,,Non-Veg,Normal
The Ranveer Singh Meal,Bobaaa Blast - Reusable Bottle,₹158,,Veg,Normal
The Ranveer Singh Meal,EVM McVeggie Xplode,₹290,,Veg,Normal
The Ranveer Singh Meal,The Ranveer Singh Meal McVeggie Xplode,₹296,,Veg,Normal
The Ranveer Singh Meal,Large EVM McVeggie Xplode,₹314,,Veg,Normal
The Ranveer Singh Meal,The Ranveer Singh Meal McChicken Xplode,₹319,,Non-Veg,Normal
The Ranveer Singh Meal,EVM McChicken Xplode,₹301,,Non-Veg,Normal
The Ranveer Singh Meal,McChicken Xplode VM,₹233,,Non-Veg,Normal
MineCraft Meal,Minecraft Chicken McNuggets® 9pc,₹209,"Bite-sized pieces of breaded boneless chicken, fried and served hot with smoke-flavoured Barbeque Sauce or Mustard Sauce",Non-Veg,Spicy
MineCraft Meal,Minecraft Veg Surprise Meal,₹263,"""Order the exclusive Minecraft Meal today and get 1-6 FREE collectible cards with your meal! Don’t miss out on this limited-time offer!""",Veg,Normal
MineCraft Meal,Minecraft Small McFlurry® Oreo,₹93,,Veg,Normal
MineCraft Meal,Minecraft Small McFlurry® Choc crunch,₹93,,Veg,Normal
Deal Of The Day,McAloo Tikki Meal,₹234,,Veg,Normal
Deal Of The Day,Veg Surprise Meal,₹255,,Veg,Normal
Deal Of The Day,McEgg Meal,₹244,,Non-Veg,Normal
Deal Of The Day,McChicken Meal,₹327,,Non-Veg,Normal
Deal Of The Day,Chicken McGrill Meal,₹282,,Non-Veg,Normal
Deal Of The Day,Tandoori Chicken Wrap Meal,₹290,,Non-Veg,Normal
Deal Of The Day,Aloo Wrap Meal,₹267,,Veg,Normal
McCrispy Range,McCrispy® Chicken*,₹218,Delightfully crispy chicken sandwich with a crispy chicken patty topped with mayonnaise and shredded iceberg lettuce served on a perfectly toasty bun.,Non-Veg,Normal
McCrispy Range,Crispy Veggie Burger*,₹196,"A crunchy patty made from a blend of 7 exotic veggies, topped with crisp lettuce and a tangy cocktail sauce, all nestled in soft, glazed potato buns. A delightful mix of bold flavours and ultimate satisfaction in every bite.",Veg,Normal
McCrispy Range,EVM McCrispy® Chicken*,₹357,,Non-Veg,Normal
McCrispy Range,EVM Crispy Veggie*,₹334,,Veg,Normal
McCrispy Range,Large EVM Crispy Veggie Double patty Burger,₹474,,Veg,Normal
McCrispy Range,Large Crispy Veggie*,₹360,,Veg,Normal
McCrispy Range,Large EVM McCrispy® Chicken,₹383,,Non-Veg,Normal
McCrispy Range,EVM Crispy Veggie Double patty Burger,₹447,,Veg,Normal
McCrispy Range,EVM McCrispy® Chicken Double patty Burger,₹470,,Non-Veg,Normal
McCrispy Range,Large EVM McCrispy® Chicken Double patty Burger,₹497,,Non-Veg,Normal
